,ydstogo,yardline_100,play_type,half_seconds_remaining,score_differential,fg_prob,td_prob
38532,1,34.0,1,288.0,8.0,0.3013811992380575,0.4013061904984552
38535,7,57.0,2,1635.0,21.0,0.28089567623013123,0.32491612522862345
38537,7,73.0,2,1045.0,-24.0,0.1806750320387938,0.27212087794928874
38539,4,58.0,2,823.0,31.0,0.2569717925929325,0.352376505481832
38544,7,77.0,2,127.0,31.0,0.0766267551820579,0.12598501145458205
38559,3,61.0,2,1696.0,0.0,0.24221602799995764,0.36327387945880574
38563,11,68.0,2,1032.0,7.0,0.21305352660368126,0.2671124003853762
38565,1,28.0,1,714.0,-7.0,0.3887464847229703,0.4661601123229698
38567,1,55.0,1,99.0,-4.0,0.18447858268761616,0.19860063017391105
38569,1,71.0,1,1609.0,-13.0,0.1741309831895499,0.3958405662098149
38570,5,55.0,2,1529.0,-13.0,0.2889969198846784,0.3518951590698615
38571,7,64.0,2,1346.0,6.0,0.2358956537081263,0.3065330791107081
38572,5,11.0,2,1149.0,6.0,0.5631484864080818,0.35104271011273336
38574,1,71.0,2,801.0,-19.0,0.16612197333221207,0.3863179729507349
38578,11,56.0,2,1129.0,7.0,0.2944305787582923,0.3057961665455433
38579,1,5.0,1,900.0,7.0,0.5132410896308719,0.4290319686126956
38585,5,5.0,2,1321.0,-7.0,0.4845530465185353,0.4698454734844819
38586,7,7.0,2,995.0,0.0,0.5431739387352381,0.4092450773609522
38591,1,8.0,1,1616.0,0.0,0.5053763723906533,0.4336871199641916
38593,6,57.0,2,1111.0,0.0,0.2778856017722361,0.33827333014238353
38594,5,75.0,2,900.0,-7.0,0.1649629161332914,0.2785335066757873
38598,1,66.0,1,312.0,-17.0,0.1388581728453486,0.3030355312312326
38600,7,56.0,2,93.0,-17.0,0.19781124039733508,0.13676413779098406
38602,3,65.0,2,1230.0,10.0,0.21930113107262408,0.3545059628555237
38604,2,59.0,1,494.0,14.0,0.2108100555639844,0.3488739604136659
38605,6,42.0,2,364.0,14.0,0.31354262227519586,0.30910987459764644
38608,2,29.0,1,1716.0,0.0,0.4257849297383501,0.4281616287618216
38610,3,74.0,2,1419.0,-3.0,0.1707561584144685,0.3155568914470253
38616,4,78.0,1,1026.0,0.0,0.15118120868031684,0.280817059004808
38617,6,33.0,2,921.0,0.0,0.4349082354868388,0.3672648331061121
38619,8,77.0,2,775.0,3.0,0.15297350027614276,0.2393170329451385
38621,3,37.0,2,382.0,3.0,0.3341603966668759,0.35884038022295184
38624,5,5.0,2,1444.0,0.0,0.4853380044927703,0.4689807161907757
38632,18,88.0,2,219.0,-10.0,0.061854747973641,0.0962517887609558
38633,1,16.0,1,78.0,-10.0,0.4494430074823581,0.2649174423883698
38635,3,67.0,2,1715.0,-7.0,0.2072963396685376,0.3409386140176557
38641,10,47.0,2,486.0,-3.0,0.313653547980164,0.2951755655074434
38652,8,55.0,2,603.0,7.0,0.2708759278855153,0.3030514324758939
38653,3,26.0,2,520.0,7.0,0.4274273475371141,0.3857142342677961
38654,1,5.0,1,411.0,7.0,0.4886366919231727,0.414123413622116
38655,6,74.0,2,321.0,-14.0,0.11981335465238875,0.19395574613861
38657,9,20.0,2,26.0,17.0,0.4495609637253265,0.1682294569704871
38658,3,42.0,2,1411.0,-31.0,0.3609134440819021,0.4067676745827203
38660,8,79.0,2,1044.0,-31.0,0.14974047207489016,0.2397938064918617
38662,4,64.0,2,802.0,31.0,0.219827861190678,0.33093772722974674
38664,15,81.0,2,659.0,-34.0,0.12966902493974464,0.18670258975310355
38667,8,36.0,1,1526.0,-7.0,0.4299895058943668,0.3494253155011954
38672,1,72.0,1,828.0,14.0,0.1626440185932938,0.3838311651226684
38682,1,34.0,1,1125.0,-14.0,0.3678844546061267,0.4784572944365781
38685,1,64.0,1,722.0,11.0,0.1953236487948178,0.4085435365313843
38689,1,70.0,1,1749.0,0.0,0.17844148182718955,0.3978460571918618
38696,2,43.0,2,437.0,-1.0,0.2955513993152045,0.382541838480278
38698,1,46.0,1,1676.0,-4.0,0.30450451642241044,0.4694218068900241
38700,11,63.0,1,1426.0,-4.0,0.2470383405509857,0.2835201235811478
38702,9,28.0,2,900.0,0.0,0.4809265591086004,0.3418689451724371
38703,10,80.0,2,679.0,-8.0,0.13437261731475844,0.20948478072195967
38704,1,85.0,1,455.0,8.0,0.08847987645324759,0.2579822014951088
38708,4,44.0,1,127.0,-8.0,0.2230856492824466,0.2512457556974348
38709,1,46.0,1,36.0,1.0,0.2108477864588852,0.19785425819581187
38714,4,12.0,2,781.0,14.0,0.5402462016114858,0.3642263861404851
38715,4,36.0,2,616.0,-21.0,0.3839321995974837,0.37687058623519576
38722,7,68.0,2,1231.0,14.0,0.2110383924971478,0.2926719583756235
38731,6,68.0,2,1100.0,0.0,0.2087473383078746,0.3013101194882209
38733,5,19.0,2,745.0,-3.0,0.5083714644694501,0.3627178386955853
38734,12,56.0,2,618.0,-4.0,0.2717442378286337,0.2805116983067681
38735,5,35.0,1,493.0,-4.0,0.3820707473568823,0.351591820317113
38741,2,60.0,2,1422.0,-4.0,0.2419865143705193,0.3962257327663531
38742,8,75.0,2,1344.0,-3.0,0.17185306933956387,0.25652704707728946
38745,4,64.0,2,739.0,3.0,0.21634942823341155,0.32627901584601304
38746,2,72.0,2,485.0,-3.0,0.1447358537943628,0.292919617017033
38747,5,63.0,2,380.0,-3.0,0.1819647726712129,0.25897738944426235
38748,3,72.0,2,207.0,-9.0,0.10391429780100216,0.19264533579507206
38751,1,1.0,2,994.0,3.0,0.2019511012411084,0.7522892782682713
38754,1,71.0,1,587.0,7.0,0.1529017137736031,0.3577216449206481
38756,6,39.0,2,277.0,-7.0,0.3118256378426779,0.29420395955572
38758,1,1.0,1,151.0,-7.0,0.1833906548366937,0.6995473656137692
38763,1,9.0,1,1123.0,0.0,0.4972199768534374,0.4393885676382617
38765,6,71.0,2,585.0,-9.0,0.16921002497932733,0.2595701626097289
38770,5,24.0,2,1669.0,0.0,0.4913758172477815,0.3690469740483104
38772,10,75.0,2,1391.0,7.0,0.17280762095042393,0.24441784210355025
38773,6,69.0,2,1130.0,-10.0,0.2031671406717845,0.2975732484839884
38777,3,62.0,1,17.0,7.0,0.1278133327220163,0.11863288656100633
38778,4,69.0,2,1724.0,-7.0,0.19894888621424625,0.3152895792211008
38781,5,68.0,2,1224.0,0.0,0.20785920497163649,0.31210555159060555
38782,3,14.0,2,788.0,-3.0,0.516786766593961,0.38447575909128734
38785,1,1.0,1,212.0,0.0,0.1868528006359995,0.7115314961560376
38790,8,49.0,2,1312.0,-11.0,0.3391174978044265,0.3389587596880436
38793,7,74.0,2,807.0,-11.0,0.16914838548673694,0.2604678518937369
38796,14,71.0,2,252.0,-3.0,0.12423100548333435,0.15755577935464196
38799,7,63.0,2,1675.0,3.0,0.241146149945341,0.3057054576963857
38802,1,88.0,1,1284.0,-10.0,0.10447573588482094,0.3117261207046628
38803,4,79.0,2,1196.0,-10.0,0.14777960148803926,0.27744508865625106
38804,1,1.0,2,981.0,-10.0,0.20187192171098728,0.7522694425655597
38806,11,48.0,2,441.0,-6.0,0.2999488934164582,0.28066591887626235
38809,10,38.0,2,1599.0,0.0,0.4223486990338237,0.3351757433102612
38810,8,16.0,2,1457.0,0.0,0.5570965200615482,0.33295483109308943
38811,3,23.0,1,1212.0,-7.0,0.4749933408471868,0.4013211716111445
38812,8,72.0,2,962.0,0.0,0.1857310555625591,0.2675380967725498
38813,1,62.0,2,599.0,-3.0,0.1960244007908018,0.3989038278798439
38817,21,93.0,2,1612.0,-9.0,0.08989684640903205,0.14013832736032653
38819,18,72.0,1,1068.0,9.0,0.19191182520708874,0.2276853394904789
38822,4,30.0,2,195.0,-11.0,0.3400936774465324,0.30788983688569405
38823,1,1.0,2,126.0,-11.0,0.18176867208203487,0.6938481796865533
38827,15,91.0,1,1007.0,3.0,0.09760703496181124,0.1624370643852089
38828,6,60.0,2,860.0,3.0,0.2523701507044328,0.32407802723474377
38836,15,66.0,2,1210.0,-12.0,0.22984720222841634,0.2584083948504301
38837,12,52.0,2,1117.0,-12.0,0.3242750936801277,0.31027700819715903
38839,19,34.0,2,775.0,-8.0,0.456715698828419,0.2997688613685009
38840,1,70.0,1,695.0,2.0,0.16529209794062885,0.3796216576712466
38844,10,77.0,2,73.0,-8.0,0.09086150524337666,0.07995589412312082
38845,13,59.0,2,32.0,-8.0,0.1589763918113017,0.09967893483212124
38847,10,48.0,2,1507.0,-3.0,0.3507830432566862,0.32576665742935385
38848,2,2.0,2,1316.0,-3.0,0.31253678548165603,0.6415527003953443
38849,6,30.0,2,1016.0,4.0,0.4567292828523871,0.3672290009182654
38852,10,46.0,1,81.0,-3.0,0.2656690293742991,0.14473457454049907
38855,11,61.0,2,900.0,-3.0,0.2552212557359799,0.2882275536216345
38859,4,32.0,2,369.0,0.0,0.37312938682693547,0.3467037087044284
38865,1,40.0,1,728.0,10.0,0.3234437583841013,0.4667316070326436
38867,9,39.0,2,390.0,10.0,0.3500567426880149,0.299232021854625
38868,1,21.0,2,270.0,10.0,0.3756419104340499,0.4093252913624836
