,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,pass_length,score_differential,fg_prob,td_prob,ep,third_down_converted
31874,1,0,1,64.0,567.0,2,11.0,0.18322041703686945,0.3849031356961671,1.7007291202124155,1.0
31875,1,0,15,60.0,78.0,2,-5.0,0.17375275575382534,0.1068348245714144,0.7937751322406272,0.0
31876,1,0,5,85.0,47.0,2,5.0,0.05968599579177732,0.07003188702659842,0.1501732954018975,1.0
31878,1,0,7,70.0,1560.0,1,-2.0,0.1986725315143045,0.28155655336097474,-0.1838447447807712,1.0
31879,1,0,2,28.0,1445.0,2,-2.0,0.4309954271711489,0.4300187987841958,3.5800566005593835,0.0
31880,1,0,9,75.0,1392.0,2,-1.0,0.17233223465983433,0.24986449863331905,-0.7690507824025983,1.0
31881,1,0,6,44.0,1236.0,2,-1.0,0.3665816562500882,0.3637138594752289,2.2533827983868893,0.0
31882,1,0,9,89.0,1178.0,1,1.0,0.10608401849220156,0.192133188961276,-1.9409460759805857,0.0
31884,1,0,4,33.0,900.0,1,1.0,0.4203610235033641,0.3907932093123555,3.108039941778844,0.0
31887,1,0,7,23.0,296.0,1,6.0,0.4360503453369218,0.3096285346764463,2.920068861285169,0.0
31888,1,0,10,70.0,228.0,2,-9.0,0.1221505483999818,0.16523644546729066,-0.002641748158815238,1.0
31890,1,0,1,43.0,35.0,2,-9.0,0.2294014853609073,0.20551431649560373,1.8915978566785312,1.0
31891,1,0,6,66.0,1679.0,1,0.0,0.2207137026572138,0.3038913460876401,0.2648641561720948,0.0
31892,1,0,12,47.0,1301.0,1,-7.0,0.3619033878858624,0.3188665848231233,1.6526633881554569,1.0
31893,1,0,4,74.0,601.0,2,-21.0,0.15265883075422032,0.2697640377728413,0.07781855505995106,0.0
31894,1,0,5,38.0,120.0,1,-21.0,0.2629827435712844,0.25616684884054114,1.9155272844857845,0.0
31897,1,0,8,65.0,1698.0,1,21.0,0.22962286501717802,0.2907520577414713,0.1738659643429432,0.0
31898,1,0,9,90.0,1601.0,2,-21.0,0.10140437303517752,0.18431232782538845,-2.1668632931434706,0.0
31899,1,0,3,74.0,1122.0,2,-21.0,0.17001775438035951,0.3168289403938585,0.12071070577151755,0.0
31902,1,0,6,21.0,143.0,2,-35.0,0.39833710067631656,0.2856068265083737,2.74420459644058,1.0
31905,1,0,3,68.0,1505.0,1,-7.0,0.20250339933838865,0.3402493233434108,0.5803861725092891,0.0
31906,1,0,5,74.0,1294.0,1,-10.0,0.174526137384414,0.2869609251664132,-0.27062661581592096,1.0
31907,1,0,6,45.0,1231.0,2,-10.0,0.3597535822761131,0.36255140068171576,2.183849353511811,0.0
31908,1,0,10,39.0,999.0,2,10.0,0.4117608491056259,0.3375146135338791,2.359240228162863,0.0
31909,1,0,11,64.0,900.0,2,-10.0,0.2353931918279161,0.27845516129432685,0.2989543138032997,0.0
31914,1,0,1,1.0,23.0,2,0.0,0.25279243273810104,0.562515525787487,4.618360063843761,0.0
31915,1,0,6,73.0,1713.0,1,-3.0,0.17976706671517806,0.2755391888311265,-0.4235709584541549,0.0
31918,1,0,11,14.0,862.0,2,10.0,0.5741865529085333,0.31388224136266124,3.407132490711512,0.0
31919,0,0,3,26.0,814.0,2,13.0,0.4492748924007512,0.40208964884340215,3.501750089796956,0.0
31923,1,0,10,94.0,230.0,1,-20.0,0.0488100710176653,0.0956835284408027,-1.1309776125200626,0.0
31924,0,0,8,53.0,127.0,2,20.0,0.17856348928244872,0.1963029066022305,0.9497042094190888,1.0
31925,1,0,6,36.0,1467.0,2,0.0,0.421169007012438,0.36686715878952003,2.7202628364926684,0.0
31927,1,0,4,77.0,1316.0,2,0.0,0.1577195474400499,0.2861232954997483,-0.4194228959835379,0.0
31928,1,0,13,75.0,1260.0,2,0.0,0.17401741620517067,0.23223037624308546,-0.946291321494092,0.0
31931,1,0,6,66.0,385.0,1,-7.0,0.16851741772841386,0.2406280391816945,0.4814378437273568,1.0
31932,1,0,4,29.0,265.0,1,-7.0,0.3682601113006703,0.3276286336184317,2.793387197437811,1.0
31933,1,0,12,70.0,179.0,2,0.0,0.1128195841571789,0.1463992907938317,-0.05472770082033729,0.0
31935,1,0,7,23.0,74.0,2,0.0,0.4462821515104436,0.1853501922058945,2.442064092992473,1.0
31936,1,0,2,50.0,1679.0,2,7.0,0.30041094441517674,0.4183929710680981,2.3415624264081805,1.0
31939,1,0,10,79.0,1166.0,2,14.0,0.15143182197223462,0.229294465939156,-1.1285600814364858,1.0
31940,1,0,8,78.0,861.0,2,11.0,0.15112385316888502,0.2395266069098318,-0.7777777755213431,1.0
31942,1,0,24,81.0,511.0,2,-11.0,0.11922679733120214,0.15431453489144722,-1.301619779501955,0.0
31943,0,0,3,55.0,247.0,1,8.0,0.19062891002070054,0.27141952446974976,1.3945207526366166,0.0
31944,1,0,5,87.0,1551.0,2,-3.0,0.1128396817234866,0.2252002013788518,-1.56451499612284,0.0
31945,1,0,5,40.0,1453.0,2,3.0,0.3890318728392189,0.37646132485274186,2.572285099824812,1.0
31946,1,0,3,3.0,1195.0,2,3.0,0.3861334612508024,0.5678621590906789,4.9269913786587685,1.0
31947,1,0,25,49.0,906.0,1,-10.0,0.35450867075837106,0.27403151624160643,1.1738883092024266,0.0
31948,1,0,6,95.0,552.0,2,10.0,0.07067165406459858,0.15726024493317142,-1.6456889875991036,0.0
31949,1,0,8,8.0,380.0,2,-10.0,0.5369115989638931,0.37220594045472427,4.029521726752859,0.0
31950,1,0,14,17.0,240.0,2,7.0,0.4861499687815379,0.2676407753764664,2.8518671768846886,0.0
31951,1,0,6,57.0,1748.0,2,-9.0,0.2779491623367932,0.33234035629237296,1.0872480801710371,0.0
31953,1,0,13,30.0,556.0,2,5.0,0.4547456553254993,0.308714335895911,2.6620290900104817,0.0
31954,1,0,20,66.0,305.0,1,-8.0,0.16146442237626712,0.17400758889209408,-0.04221786860832144,0.0
31955,1,1,11,81.0,1750.0,2,0.0,0.14005631597572435,0.21038721088142176,-1.5558717753783122,0.0
31956,1,1,7,14.0,1374.0,2,0.0,0.5627083945726797,0.3372769409391953,3.535732429316055,0.0
31957,1,1,1,43.0,1220.0,2,3.0,0.3197485986146594,0.47665886388334006,3.2563015183699084,0.0
31958,1,0,8,66.0,978.0,2,-3.0,0.22167953169720195,0.2909013557259173,0.2855007945213415,0.0
31960,1,1,8,70.0,659.0,2,-10.0,0.18325095953983486,0.2581198940572881,0.005202681810803743,0.0
31961,1,1,5,80.0,578.0,2,10.0,0.12469951613681228,0.2295418408026975,-0.5228208870502935,0.0
31962,1,0,17,62.0,398.0,2,-10.0,0.20250998770753265,0.2126047431312862,0.29339721243160555,0.0
31963,1,1,10,27.0,1650.0,1,-16.0,0.4977024803173093,0.3327295532382556,2.9304432661759963,0.0
31964,1,1,11,80.0,1455.0,2,-20.0,0.14650737443014086,0.21850768670920068,-1.375055866309925,0.0
31965,1,1,4,23.0,1028.0,2,-27.0,0.4845335982754948,0.3845403637511676,3.505720717589852,0.0
31968,1,0,13,87.0,133.0,2,-16.0,0.05347171960678036,0.08867333376674076,-0.7481912136515787,0.0
31969,1,0,3,73.0,1732.0,2,0.0,0.17477728708169174,0.3152443089526617,0.02798554410748233,1.0
31971,1,0,4,35.0,1299.0,1,-3.0,0.4139814396396492,0.3925167772651315,2.9891351830087385,0.0
31973,1,0,3,78.0,1039.0,2,0.0,0.14964079643927125,0.29733893540665746,-0.2320580176050773,1.0
31976,1,0,20,49.0,49.0,2,-7.0,0.23470821870686026,0.11386027189955995,1.1196472432280773,0.0
