,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,down,score_differential,fg_prob,td_prob,ep,third_down_converted
1043,1,0,20,76.0,pass,955.0,3.0,7.0,0.16729211680005718,0.20661714810629755,-1.164269234961043,0.0
1044,1,0,9,32.0,pass,946.0,3.0,4.0,0.4556599749752001,0.3441253151817327,2.808955640060745,0.0
1045,1,0,5,77.0,pass,222.0,3.0,-23.0,0.09132763505906796,0.16210888795462544,-0.12585664333546442,0.0
1046,0,0,1,28.0,pass,45.0,3.0,0.0,0.34124382706858297,0.24236776722104816,2.5510530775353177,1.0
1047,1,0,21,86.0,pass,25.0,3.0,-2.0,0.05679864046272237,0.04829586158099016,-0.05303883948080057,0.0
1048,0,0,1,1.0,pass,769.0,3.0,-3.0,0.2002589131779468,0.7507233995243082,5.673693192179607,1.0
1049,1,1,7,25.0,pass,1408.0,3.0,-9.0,0.4975982977445965,0.3532021260799213,3.190339871289315,0.0
1050,1,0,12,32.0,pass,46.0,3.0,0.0,0.3626544812240531,0.15258014627855326,1.90495632391872,1.0
1051,1,0,6,38.0,pass,1016.0,3.0,21.0,0.40424307317408814,0.3678193908118571,2.661324124993832,1.0
1052,1,0,9,95.0,pass,1176.0,3.0,7.0,0.0842794557086868,0.16748812860160234,-2.4039904034236934,0.0
1053,1,0,10,60.0,pass,1532.0,3.0,0.0,0.2658611850404632,0.29702182447399256,0.5620696386890487,0.0
1054,1,0,6,64.0,pass,1004.0,3.0,5.0,0.2314820671745445,0.3149388682438617,0.6415873404486536,0.0
1055,1,0,10,90.0,pass,1393.0,3.0,17.0,0.10215912920410544,0.18219495894940446,-2.158048064840488,0.0
1056,0,0,12,35.0,pass,1591.0,3.0,-4.0,0.4487620904079905,0.32577511528187336,2.437486738993169,1.0
1057,1,0,7,22.0,pass,677.0,3.0,-14.0,0.4992574943469604,0.34534960046807883,3.2872038880684027,1.0
1058,1,0,12,44.0,pass,1000.0,3.0,10.0,0.38049942594873815,0.3227793944889725,1.928204739334182,0.0
1059,1,0,12,35.0,pass,1102.0,3.0,1.0,0.4470389937327939,0.3290202483678197,2.5126863776014514,1.0
