,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,run_location,score_differential,fg_prob,td_prob,ep,third_down_converted
19662,1,0,2,42.0,788.0,1,-7.0,0.3372915979943196,0.4256455131627029,2.9458084672998,0.0
19671,0,0,2,60.0,354.0,2,26.0,0.1824908117176579,0.3079237912342473,1.4085417986026196,0.0
19677,0,0,1,58.0,794.0,1,14.0,0.2295001080007629,0.4366175068200247,2.266685761657413,0.0
19693,1,0,9,91.0,1620.0,2,0.0,0.09753789887593488,0.17995054238991834,-2.251892732212711,0.0
19696,1,0,7,10.0,1043.0,1,1.0,0.5817952144971651,0.3308728934790053,3.6375277488526976,1.0
19700,1,1,1,12.0,20.0,2,-15.0,0.4519513090696882,0.2508299328090345,3.0086820425760155,1.0
19713,1,0,2,11.0,889.0,3,7.0,0.5170969408126131,0.4029385953096148,4.00960650992293,1.0
19716,1,0,4,53.0,465.0,2,11.0,0.2530050201399717,0.32438003142735705,1.682048164993367,1.0
19724,0,1,1,31.0,478.0,2,-13.0,0.35183726319640896,0.4448740335101542,3.5712840645828097,1.0
19732,1,0,12,82.0,1308.0,1,-9.0,0.13720164525367284,0.20762925290445453,-1.5552591580161874,0.0
19740,1,1,2,72.0,1745.0,1,12.0,0.1762779769972509,0.344328888452634,0.3999073695358599,1.0
19745,1,1,5,52.0,734.0,1,18.0,0.2942182660161764,0.3497532172444114,1.7793428695104647,0.0
19748,1,0,6,44.0,126.0,3,4.0,0.228736959592465,0.23414744616172714,1.54199510276323,0.0
19753,0,0,1,56.0,428.0,1,-3.0,0.2054660087525144,0.3829148389748263,2.135342994488912,1.0
19759,0,0,1,55.0,867.0,2,-3.0,0.24823486172733136,0.4499313556501136,2.5013508350397538,1.0
19762,0,0,7,16.0,227.0,1,7.0,0.4671046760557781,0.2982373576647718,3.0674866278714523,1.0
19770,0,0,1,35.0,238.0,3,-13.0,0.2834583181480114,0.3838611301722524,2.9656566973299916,1.0
19779,0,0,1,12.0,1177.0,1,0.0,0.483048968719672,0.446451405712104,4.223948398356768,0.0
19780,0,0,1,77.0,1094.0,3,0.0,0.14628966863750095,0.3702000998888481,0.6066016634858624,1.0
19781,1,0,16,68.0,950.0,3,0.0,0.2141308467955701,0.2463478774286651,-0.3038354292761465,0.0
19785,1,0,17,85.0,392.0,1,0.0,0.09065722269413032,0.13584064971594614,-1.2265690083849128,0.0
19796,0,0,1,81.0,698.0,1,0.0,0.1195868681877902,0.3255385030566921,0.3204294480045773,1.0
19804,0,0,21,91.0,723.0,3,-13.0,0.0919079326697958,0.14242964043547518,-2.1946153282877865,0.0
19812,0,0,1,71.0,486.0,3,-1.0,0.14282372262685653,0.3350945871597875,1.1002875776399983,0.0
19817,0,0,1,71.0,1734.0,2,0.0,0.17376000055362956,0.39361041672535335,0.9897553851865282,1.0
19822,0,0,1,60.0,963.0,2,3.0,0.2248942388514132,0.43919755913008296,2.1286440228951715,0.0
19824,0,0,1,3.0,651.0,2,-3.0,0.5154561065070536,0.4207016070599968,4.261011745797189,0.0
19837,1,0,2,60.0,1670.0,2,0.0,0.2415320101220432,0.3927314695938145,1.5371914593241225,1.0
19838,1,0,10,34.0,1395.0,2,0.0,0.4504509294435111,0.3379751611477215,2.6123850175449372,1.0
19844,0,1,2,23.0,238.0,2,0.0,0.37985396481726064,0.3629188468529556,3.232833269084844,1.0
19857,1,1,1,39.0,1300.0,2,-3.0,0.3421820350138095,0.4784336152105799,3.4513713101811563,1.0
19888,1,0,6,89.0,384.0,1,-4.0,0.07518925344511,0.15321346986844994,-1.0186382171790245,1.0
19890,0,0,1,20.0,77.0,2,-4.0,0.4186056953090656,0.26248847397420955,2.9519495282362294,1.0
19891,1,0,3,72.0,1759.0,2,3.0,0.17986002915776236,0.3191925501831303,0.1166708600691111,0.0
19896,0,0,1,71.0,865.0,2,-1.0,0.16844593084883913,0.3910175860487913,1.1976550639306365,0.0
19908,0,0,1,82.0,378.0,2,14.0,0.08987262045360984,0.2507095314143877,0.2503342469876801,1.0
19910,1,0,2,15.0,51.0,2,14.0,0.4655501262146837,0.2296660890397131,2.876421951138909,1.0
19917,1,0,3,50.0,655.0,2,31.0,0.2898240788730732,0.3775981981744279,2.1759016545247363,1.0
19919,1,0,4,24.0,455.0,2,-31.0,0.4419814629738063,0.3620247538078722,3.2797413168639635,1.0
19920,0,0,9,89.0,177.0,3,31.0,0.053678185524607,0.0999959150763898,-0.8007914976111392,0.0
19921,0,0,1,5.0,1612.0,2,0.0,0.5197690392164949,0.4258710871581732,4.260478131990157,0.0
19926,1,0,21,73.0,593.0,2,14.0,0.16633368864066278,0.19586635961426346,-0.7258201403030382,0.0
19927,0,0,3,3.0,19.0,3,14.0,0.4213877838991068,0.3723267900006683,3.797615369181305,0.0
19928,1,0,16,35.0,1348.0,1,10.0,0.4569584722477567,0.3121137711823616,2.351743344160142,1.0
19931,1,0,3,51.0,619.0,1,19.0,0.2801898441472006,0.3711094306888951,2.0867025581693426,1.0
19932,0,0,9,20.0,222.0,1,22.0,0.4446674673481669,0.28469991721677473,2.8330526084536247,0.0
19943,0,0,1,9.0,1601.0,1,-10.0,0.500446594938015,0.4363318002617657,4.228953349087002,0.0
19944,0,0,1,90.0,1338.0,1,-7.0,0.09768519052623686,0.3001615750913131,-0.7104971010478462,0.0
19945,1,0,12,52.0,1221.0,2,7.0,0.32513830633758456,0.3101939215867911,1.257050729925675,0.0
19950,1,0,1,6.0,509.0,1,7.0,0.4921920935895212,0.4224691921612103,4.182983266348382,1.0
19957,1,0,3,23.0,1066.0,2,17.0,0.4733093814160208,0.4015445644780737,3.614185537872136,1.0
19964,1,0,12,27.0,900.0,1,-12.0,0.4974048834094561,0.3253432047702999,2.9299794746115966,0.0
19968,1,0,3,46.0,1423.0,3,0.0,0.33573171543461955,0.4023889673267359,2.4521976446415263,1.0
19969,0,0,3,3.0,1259.0,1,0.0,0.3865908445317017,0.5675119225139499,4.9244298029180635,0.0
19977,1,0,2,10.0,191.0,1,11.0,0.4522696649494963,0.35389915691596713,3.551331096736747,1.0
19984,0,0,12,43.0,115.0,3,21.0,0.3109153928255308,0.15476069694910968,1.6469092524848552,0.0
19988,1,0,15,53.0,1580.0,2,0.0,0.3210631480925434,0.2921806270571187,0.956407404884517,0.0
19992,1,0,17,75.0,564.0,3,7.0,0.15204570040966373,0.1942483242838801,-0.7582385313337131,0.0
19999,0,0,1,1.0,1235.0,2,-13.0,0.20319219224462,0.7517971839184588,5.679051429174801,1.0
20002,0,0,1,33.0,722.0,2,9.0,0.36178405468855374,0.4685883620693103,3.672280608063813,1.0
20018,1,0,3,62.0,1313.0,1,0.0,0.2369704262944529,0.36485462910232064,1.1919176659638109,0.0
20022,1,0,7,54.0,551.0,1,0.0,0.2689743590381292,0.3062249822259729,1.384006073365021,1.0
20027,0,0,1,25.0,646.0,1,0.0,0.40105119086180624,0.4599987700534462,3.904516491317299,1.0
20035,0,0,1,57.0,484.0,2,4.0,0.2084028409567273,0.3938181966245639,2.13921489147874,1.0
