,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,pass_length,run_location,score_differential,fg_prob,td_prob,ep
25954,0,0,4,52.0,2,1550.0,2.0,,0.0,0.304149204917904,0.3724251086938535,1.811183456626104
25958,1,0,3,52.0,2,847.0,1.0,,3.0,0.2896330383147363,0.3871023703096908,2.0809019825185042
25960,1,0,9,44.0,1,522.0,,2.0,-6.0,0.3388197787809697,0.3117428939266501,1.9656581895745129
25964,1,0,5,6.0,2,8.0,2.0,,13.0,0.5423102636169675,0.18781177738051968,2.8406776739398887
25965,1,0,10,58.0,2,1595.0,2.0,,20.0,0.2793269198348889,0.3020284760218639,0.7308515893679197
25967,1,0,8,50.0,2,1156.0,2.0,,-23.0,0.331243078292243,0.33772561476520424,1.6613847784844404
25968,1,0,6,76.0,2,900.0,1.0,,16.0,0.16093720469199588,0.2643669139519017,-0.4406685515650266
25969,1,0,1,9.0,1,665.0,,1.0,16.0,0.4863201550628249,0.4353305181003924,4.215454960934316
25970,0,0,1,1.0,1,534.0,,3.0,16.0,0.19714104301901755,0.7439380927582678,5.6235991646452215
25972,1,0,2,56.0,1,191.0,,3.0,23.0,0.16623817895421542,0.26489141301401703,1.395363041921724
25975,0,0,1,1.0,2,1491.0,2.0,,0.0,0.20425385474090405,0.7503012593998956,5.666015691002332
25978,1,0,8,78.0,2,1134.0,2.0,,-10.0,0.15556925019643394,0.2446856509241981,-0.8909014067791028
25979,1,0,7,61.0,2,1017.0,2.0,,-10.0,0.2526294695535752,0.3163144322312511,0.8182449739042197
25993,1,1,6,72.0,2,462.0,2.0,,7.0,0.15002579669497662,0.2345372856609776,0.04523477178759272
25997,1,0,4,56.0,2,1469.0,1.0,,-7.0,0.2785930284930188,0.3637217521033216,1.4985567875190169
25998,1,0,4,33.0,2,1343.0,2.0,,-7.0,0.4268029248301909,0.3918669082909773,3.0830765573198198
26002,1,0,8,64.0,2,900.0,2.0,,0.0,0.2320712974258071,0.2959144979431693,0.487810200872137
26004,1,0,8,47.0,2,313.0,2.0,,0.0,0.2718294898516485,0.27093949487848995,1.5986585660000618
26011,1,0,6,82.0,2,847.0,2.0,,-4.0,0.13067483737838909,0.23587162779860585,-0.9521938301012628
26016,1,0,3,50.0,2,245.0,2.0,,1.0,0.21852771031245435,0.2880129899001726,1.7015284155456445
26018,1,0,6,11.0,2,47.0,2.0,,-8.0,0.5280153588917854,0.18904337778476574,2.780357673771091
26022,1,0,1,64.0,1,1237.0,,2.0,-3.0,0.20804395540815787,0.4288895146832154,1.7614134845853544
26029,1,0,5,84.0,2,1420.0,2.0,,-2.0,0.12585908640455865,0.2406853013495723,-1.2535049680183104
26035,1,0,7,60.0,2,490.0,2.0,,1.0,0.22178633746765755,0.2775206938060676,0.8925489000966559
26036,1,0,10,99.0,2,279.0,2.0,,-1.0,0.04335862330052551,0.09170133478338337,-1.4432422980250643
26038,1,0,8,66.0,2,138.0,2.0,,1.0,0.11817415211028134,0.15878419193244972,0.2750572843485959
26043,0,0,3,23.0,2,648.0,2.0,,-6.0,0.4578824799447026,0.393052474459048,3.5514450418535204
26045,1,0,7,96.0,2,159.0,2.0,,4.0,0.03848262075204402,0.08479741465559723,-0.936565309358828
26046,1,1,6,70.0,2,92.0,2.0,,4.0,0.12144664201766298,0.10811617985056013,0.6070909743251913
26051,1,0,2,69.0,2,813.0,2.0,,-2.0,0.18449384709539488,0.3531859415083685,0.9174811485471864
26053,1,0,5,5.0,2,279.0,2.0,,-9.0,0.44672538715683896,0.4460539270835763,4.2854168349873465
26054,0,0,2,74.0,2,190.0,2.0,,2.0,0.09191399777813876,0.19345827119596248,0.3679722324269185
26058,0,0,1,71.0,1,1387.0,,2.0,-7.0,0.17441247183592454,0.398964796134096,1.0935241698778229
26063,1,0,3,54.0,2,70.0,2.0,,8.0,0.19087322238829124,0.1563192187053312,1.3107830793945034
26065,1,0,4,74.0,2,1234.0,2.0,,-15.0,0.17285737762533873,0.3000647078103578,-0.10541693648706207
26067,1,0,8,58.0,2,856.0,1.0,,-15.0,0.26942791419929274,0.3135015069825685,1.029312621082891
26068,0,0,1,1.0,1,644.0,,2.0,-15.0,0.19885586518422416,0.7480902175314553,5.654442795894598
26070,1,0,12,67.0,2,326.0,2.0,,-8.0,0.15732977631115352,0.1941003753934928,0.09630936503959477
26072,1,0,3,73.0,2,1327.0,2.0,,-3.0,0.17593824640703182,0.32097524025353785,0.1543647347119257
26073,0,0,1,1.0,2,315.0,2.0,,-3.0,0.19135890423930754,0.7265818669291522,5.493373191911775
26075,1,0,12,34.0,2,129.0,2.0,,4.0,0.3112613279779587,0.2318344623581918,1.8712140783412257
26076,1,0,3,3.0,1,97.0,,3.0,4.0,0.4441581883582008,0.3915857460233445,3.996281656373052
26079,1,0,7,31.0,2,1443.0,2.0,,18.0,0.4592324635714088,0.35730142779337765,2.9202781808671165
26081,1,0,6,52.0,2,771.0,1.0,,18.0,0.30026086664835056,0.3415733461553949,1.685667912551446
26082,0,0,1,8.0,1,392.0,,1.0,25.0,0.4704298245018189,0.41784331018194654,4.0749217078869915
26085,0,0,1,1.0,2,1482.0,2.0,,0.0,0.2042188121385395,0.7503625278533635,5.666542178462758
26090,1,0,9,43.0,2,705.0,2.0,,12.0,0.3668373298773521,0.3306365581354465,2.1209432758668347
26091,1,0,3,73.0,2,495.0,2.0,,-15.0,0.14459756289269213,0.2700468444903244,0.33093863396559864
26093,1,0,9,86.0,2,1751.0,2.0,,-8.0,0.11689686129566056,0.198888935338922,-1.879897713194821
26099,0,0,1,71.0,1,534.0,,2.0,-3.0,0.14796359876193546,0.3466852783414954,1.1288654928812871
26103,1,0,1,71.0,2,1735.0,2.0,,0.0,0.17375664803263574,0.3935917477331159,0.9894459126888332
26104,1,0,9,58.0,2,1666.0,2.0,,0.0,0.27754166212255965,0.3070265410660205,0.7737995635606656
26106,1,0,7,50.0,2,1356.0,2.0,,7.0,0.3294399400267469,0.3446768388969678,1.6955473278147326
26107,0,1,1,37.0,1,827.0,,2.0,-14.0,0.3447000930362133,0.4735407521162434,3.5399817492800145
26110,1,0,2,32.0,2,1595.0,2.0,,-11.0,0.4081907472548726,0.4314216422596605,3.402188906177208
26111,1,0,5,20.0,2,1486.0,2.0,,-11.0,0.514892953379371,0.3653962436782744,3.4804910878232813
26113,0,0,1,49.0,1,1155.0,,2.0,3.0,0.2864131665250396,0.4693228813453566,2.9084323421487452
26116,0,0,1,42.0,1,293.0,,3.0,3.0,0.2558115869982343,0.38541865835351297,2.73841673904236
26117,1,0,1,62.0,1,1649.0,,1.0,0.0,0.21846281361289746,0.4316232381742947,1.8289623437734521
26123,1,1,3,51.0,2,915.0,2.0,,0.0,0.2983761400116364,0.3919192871696435,2.1589283638379384
26124,1,0,7,41.0,2,862.0,2.0,,0.0,0.3836610069186864,0.35415381691139275,2.4013534369562275
26125,1,0,4,50.0,2,482.0,2.0,,3.0,0.27475998220123604,0.33614603764638523,1.908944857048337
26127,0,1,12,34.0,2,253.0,1.0,,3.0,0.3565268952984028,0.2646243916916326,2.1277087228607834
26129,1,1,1,58.0,1,1656.0,,2.0,20.0,0.23934914169323124,0.4444436156520252,2.158758662694684
26131,1,0,13,43.0,2,1464.0,1.0,,-20.0,0.3930840094746184,0.3180263993064689,1.884078780269392
26136,1,0,9,79.0,2,493.0,2.0,,19.0,0.12345782736054953,0.19529863620896645,-0.6886186749826464
26139,1,0,5,38.0,2,1214.0,2.0,,0.0,0.4013310818075417,0.37907926202448944,2.7308031707300744
26143,1,0,3,65.0,2,1375.0,2.0,,-24.0,0.2196046669274046,0.35355124387154496,0.9006139657389554
26146,1,0,3,3.0,2,1019.0,2.0,,24.0,0.384603139782288,0.5684195397636533,4.930467248583192
26148,1,0,2,72.0,2,1733.0,2.0,,0.0,0.1763301608822571,0.3445471357647896,0.4036777542575845
26149,1,0,7,52.0,2,1639.0,2.0,,0.0,0.3150492213395697,0.33727530429589586,1.4617578992301978
26151,1,1,8,53.0,2,1426.0,2.0,,0.0,0.31120395831517617,0.3298417906859109,1.3535290143065013
26152,1,0,11,45.0,2,1325.0,2.0,,0.0,0.3746472321040003,0.32645245224004604,1.8484002042925909
26154,1,0,2,59.0,1,1054.0,,1.0,-14.0,0.2454063992351919,0.3997790549389755,1.7643492974324462
26162,1,0,9,96.0,2,685.0,1.0,,-4.0,0.07401350939794793,0.15145634034433655,-2.0905527464812
26163,1,1,6,20.0,2,155.0,1.0,,3.0,0.4100586241631361,0.28940291316829303,2.8140618662365475
26167,1,1,11,89.0,2,1580.0,1.0,,0.0,0.1054680650595572,0.18014777355207864,-2.1868200815914722
26168,0,0,1,74.0,1,1370.0,,1.0,0.0,0.1606386155642395,0.38508574985136335,0.8153037334450239
26171,0,1,1,46.0,1,922.0,,3.0,7.0,0.298537420848616,0.47009108564724794,3.0953214352260243
26172,1,0,4,74.0,2,793.0,2.0,,-14.0,0.16478045666648908,0.2896153826981405,0.02891770449801845
26173,1,0,1,44.0,1,604.0,,2.0,-14.0,0.29211190293128764,0.4499765736160093,3.0851556212907685
26177,1,1,5,63.0,2,1712.0,2.0,,17.0,0.2370028949956131,0.3249012846881659,0.657755608086509
26184,1,0,2,77.0,1,464.0,,2.0,-16.0,0.12117348991573294,0.2650987999372467,0.2465347360731777
26186,1,0,10,81.0,2,146.0,2.0,,-8.0,0.06930953606471163,0.11139407116939797,-0.4740685016459748
26187,1,0,25,83.0,2,120.0,1.0,,-8.0,0.06219282865774905,0.083138631323267,-0.7530544381835795
26189,1,0,5,44.0,2,61.0,2.0,,-8.0,0.25996669369171466,0.16176560258435735,1.6052849505360531
26192,1,0,8,25.0,2,1419.0,2.0,,-7.0,0.5025505830647343,0.3455629460335181,3.137018338152912
26193,1,0,5,75.0,2,1169.0,2.0,,-7.0,0.1688837003529229,0.2830034538984053,-0.3258896170629717
26203,1,0,1,71.0,2,1287.0,1.0,,-10.0,0.17426137454246662,0.39974234211940174,1.1209894679345749
26209,1,1,1,41.0,1,325.0,,2.0,-13.0,0.2684824045122392,0.3979450243645843,2.861863369296941
26212,1,0,5,5.0,2,1470.0,2.0,,0.0,0.4854911931000075,0.4687856695251488,4.522979652180928
26213,1,0,3,70.0,2,1261.0,2.0,,7.0,0.19165554410093336,0.3344232369746889,0.4615198042054247
26217,0,0,1,42.0,2,724.0,1.0,,-14.0,0.3121484569301581,0.4646297231628204,3.2654845190742017
26225,1,0,9,36.0,2,1466.0,2.0,,-2.0,0.4335152831102129,0.34322809129189563,2.53164843701041
26239,1,0,2,64.0,2,1376.0,2.0,,7.0,0.21952856352394853,0.382879063371627,1.2618099936867628
26242,0,0,1,50.0,1,1014.0,,1.0,10.0,0.2789611614277654,0.4660791996404002,2.852548884681002
26243,1,1,7,46.0,1,907.0,,3.0,10.0,0.35092157285950504,0.34952290503845984,2.0630043416784902
26245,1,0,3,48.0,2,701.0,2.0,,-10.0,0.306113120075483,0.3861773543955265,2.3340058896384805
26247,1,1,6,67.0,2,1736.0,2.0,,5.0,0.21432298353509804,0.29920958034102035,0.15112166044107125
26248,0,0,1,48.0,1,1605.0,,1.0,5.0,0.2935126483067961,0.4676193004520587,2.8950559502677
26249,0,0,4,55.0,1,1281.0,,1.0,-5.0,0.2848133777182247,0.36808023176622506,1.6282395224097113
